,Years up,Div yield,Sector,avg daily vol,Total Revenue Incr,Gross Margin,Gross Profit Incr,Trading years,Market cap,EPS,P/E,Mean change
IMGN,0,,Healthcare,176967179.7436142,4.262405246670586,99.94606950904868,4.136431815612407,35.0,8240942592.0,-0.28,-105.35714285714285,102.46975757881285
IMNM,2,,Healthcare,6641869.031918844,,,,4.0,689835072.0,-1.8,-8.511111111111111,111.69988067123195
IMO,0,2.7199999999999998,Energy,29705237.807566322,67.00778598935541,7.23682283661626,-106.84977114258992,44.0,29953863680.0,6.61,8.39788199697428,23.697155495842907
IMPP,1,,Energy,2452736.0365486145,222.15304970281647,7.317675348962893,-1115.0193354192102,3.0,89673760.0,4.29,0.8321678321678321,-57.854634419782485
IMTX,2,,Healthcare,8067645.598640443,204.2001630415755,,,6.0,1170762880.0,-1.23,-9.463414634146343,4.026857860526578
IMUX,0,,Healthcare,2208772.772283554,,,,10.0,51917208.0,-3.25,-0.3538461538461538,-5.52659125604835
IMVT,0,,Healthcare,60650087.3404948,,,,5.0,5589739520.0,-1.96,-19.714285714285715,88.79582168513245
INBS,0,,Healthcare,175913.38518857953,,,,4.0,2620314.0,-10.0,-0.03,-86.07360858168754
INBX,0,,Healthcare,47857434.9941508,-56.90114237811894,,,4.0,1717456128.0,-4.25,-8.529411764705882,14.365897728133895
INCY,0,,Healthcare,102681100.09399414,12.829197180768803,94.64065922341233,12.127577208942174,31.0,13634791424.0,1.88,32.361702127659576,1.7835251209696366
INDI,0,,Technology,15787109.100914001,121.49016286676613,42.8107652567869,130.61625481228464,5.0,1112988160.0,-0.83,-8.27710843373494,2.8230374348153546
INFA,2,,Technology,23479962.014541626,6.685348367391608,76.71784050215531,7.5483192651650715,3.0,8678496256.0,-0.67,-44.492537313432834,9.164763179261985
INFN,1,,Technology,13794114.841690063,7.76100204064779,33.05064691869355,14.70357201751642,17.0,1164120192.0,-0.02,-256.5,12.65027421219715
INFY,2,2.15,Technology,213983079.03264362,12.681521053776699,32.69655268464672,9.259327079556494,25.0,83329310720.0,0.71,28.154929577464788,19.036226227376392
ING,0,5.6999996,Financial Services,38597995.92692057,2.084087024979586,,,30.0,47088893952.0,1.76,8.051136363636363,9.936737461536465
INGN,1,,Healthcare,3662744.8472976685,10.712470818116426,44.92941408304972,7.357777834290097,10.0,124230576.0,-5.76,-0.9253472222222223,-43.53217886126304
INMD,1,,Healthcare,38261796.81907654,50.26542173890747,84.62267338778703,49.35641546901909,5.0,1891021952.0,2.1,10.819047619047618,32.826100439149364
INN,0,3.63,Real Estate,5217007.259674072,70.52902145111966,28.271821421592133,181.25335135094494,13.0,711097216.0,-0.22,-30.045454545454547,-4.957373557620075
INO,1,,Healthcare,4493767.311834565,201.09084328913127,,,26.0,13137489.0,-7.56,-0.0763888888888889,-5.795831636728403
INOD,2,,Technology,4553286.015059154,16.513299208631317,35.49534291205948,18.473369361683734,31.0,300588480.0,-0.16,-65.4375,95.3706829379241
INPX,0,,Technology,981300.168529798,46.72259162681357,72.09350899728024,46.86177675415918,12.0,9151436.0,-14.78,-0.0031867388362652235,-81.97850802296564
INSM,0,,Healthcare,56396785.676244095,22.408455889617475,76.61787984813877,23.84768526961617,24.0,3919898624.0,-5.29,-5.1795841209829865,26.339410919780335
INSP,1,,Healthcare,128871146.58040366,88.51556585771401,84.7523850931348,87.73839011910815,6.0,6169377280.0,-1.11,-188.25225225225225,48.33285838431956
INSW,3,0.8999999999999999,Energy,27499995.518773396,90.94648921781494,26.889088086946384,-733.4666886555332,8.0,2605871360.0,12.95,4.114285714285715,39.304528873486326
INTA,2,,Technology,20208992.449569702,23.530903093733247,64.75262991611775,27.700770265215073,3.0,3098986752.0,-0.98,-45.39795918367347,25.785733783737097
INTC,0,1.0199999,Technology,1920980315.1514685,-9.361591744062125,51.353808820075876,-19.10881558771413,44.0,206963441664.0,-0.39,-125.87179487179488,11.11783680569706
INTR,0,,Financial Services,10203133.907318115,79.29750162873731,,,2.0,2066749312.0,0.09,52.888888888888886,134.59916503194003
INTU,2,0.5700000000000001,Technology,785589529.4494629,23.485705971072676,80.9506464913799,21.583716578245383,31.0,178089689088.0,9.1,69.90989010989011,33.70241622060064
INUV,0,,Communication Services,287396.33082648116,30.19605933878896,71.59756522961342,12.05900904468946,26.0,57676476.0,-0.09,-4.644444444444445,6.555826653207303
INVA,2,,Healthcare,10156586.513150534,0.45299703303381955,98.61239797709698,-1.3069157943102205,20.0,1047176704.0,0.75,21.786666666666665,1.1479026753398223
INVH,0,3.3800002000000005,Real Estate,105768508.76457214,10.81484705497534,60.47757477813402,12.184609781051915,7.0,20352141312.0,0.81,40.888888888888886,16.293146437700305
INVZ,0,,Consumer Cyclical,8668940.606234074,-74.06366927046822,-22.963961855850982,3.1777015826956356,4.0,283610816.0,-0.91,-1.89010989010989,-43.08977968232289
IONM,0,,Healthcare,205215.38897265986,332.98809339022495,-37.31937836117056,-283.6506171745427,6.0,1535625.0,-30.28,-0.007546235138705416,40.01991106158266
IONQ,0,,Technology,70676015.0,,,-83.73581093127842,3.0,2266084096.0,-0.67,-16.52238805970149,89.89456087339462
IONS,3,,Healthcare,72852115.33103943,-8.196469414059893,98.20691336545872,-8.418071382621017,33.0,7259682816.0,-2.87,-17.630662020905923,3.444700170994224
IOT,0,,Technology,87739887.91122437,77.41094549489384,68.11617562972815,90.89529722785153,3.0,16886525952.0,-0.43,-72.69767441860465,56.381493378398744
IOVA,0,,Healthcare,54686295.74142774,,,,14.0,1957772672.0,-2.08,-3.6778846153846154,36.44874526547612
IP,2,5.11,Consumer Cyclical,101075496.35327657,9.761008237617174,28.918748872412493,7.320560666896247,62.0,12518894592.0,2.18,16.596330275229356,-0.010054408349748911
IPG,0,3.85,Communication Services,110306566.2286377,9.864518273929225,16.630321665140954,18.32341301896226,44.0,12344218624.0,2.39,13.485355648535563,11.990216510683098
IQ,0,,Communication Services,37835956.78671837,-1.121786697202748,13.039529705777369,93.21914587582982,6.0,3511067136.0,0.13,28.23076923076923,-8.168290546185608
IQV,0,,Healthcare,220869736.6040039,13.002187521887631,34.10551878439346,14.30151864202136,11.0,38850600960.0,5.96,35.718120805369125,18.396584252058133
IR,2,0.1,Industrials,171183369.35475665,22.252474370769214,37.75380820847146,29.246399947967593,7.0,31914192896.0,1.84,42.84782608695652,34.368604219717454
IRBT,0,,Consumer Cyclical,71404870.23124695,-7.487016705915361,37.20121052035596,-27.137598367614974,19.0,490713248.0,-11.81,-1.4911092294665536,-9.088063246565302
IRDM,0,1.43,Communication Services,23895211.649424233,11.330237496958196,74.39031449231197,8.659362178667596,16.0,4510653440.0,-0.18,-202.33333333333334,20.543056395965163
IREN,0,,Financial Services,22434513.182214104,312.89588373715156,73.31075546264647,391.0411007392698,3.0,268361600.0,-3.14,-1.2738853503184713,189.86518623307137
IRM,0,3.88,Real Estate,95386354.3424479,10.963753598836433,57.57172455582872,10.439555777732057,28.0,19566252032.0,0.94,71.2872340425532,20.797361881048026
IRT,1,4.2,Real Estate,35924927.18229294,84.62629667596195,58.32646972424491,87.42929323526006,11.0,3512905984.0,0.25,60.92,19.422258758998833
IRWD,1,,Healthcare,50307178.558298744,2.7287064799330354,99.73163758408789,3.1597604025710266,14.0,2078076928.0,-6.18,-2.1537216828478964,7.987507668096326
ISRG,2,,Healthcare,713013116.496989,19.99099701845387,67.46947651550083,22.175394450048923,24.0,130291286016.0,5.03,73.57256461232603,18.914285085386457
ISUN,0,,Technology,193062.83654471237,91.98101187661871,15.375273709657597,161.3339730237939,8.0,9631270.0,-3.19,-0.06896551724137931,-18.309235366879193
IT,17,,Technology,204577336.53564453,15.57541345425031,68.5843755280934,17.201335131869055,31.0,36490702848.0,11.62,39.85197934595525,33.588569071500366
ITCI,0,,Healthcare,57245098.67808024,233.77614604767157,91.1832924008105,233.71144374332675,10.0,6360375296.0,-1.62,-40.7962962962963,58.989839067654145
ITUB,0,2.87,Financial Services,104282405.5505848,20.707820184362667,,,22.0,64018165760.0,0.66,9.893939393939394,2.90345750998907
ITW,0,2.17,Industrials,241667021.1920166,12.58867889503341,41.14578785866659,11.8769213915077,51.0,77809123328.0,10.29,25.13119533527697,16.900533611228845
IVP,0,,Consumer Cyclical,317736.0009352365,285.8085922513293,29.20808214827548,206.9647529814661,1.0,1685247.0,-1.48,-0.10304054054054054,
IVR,1,17.51,Real Estate,8547437.084147135,199.3707553029257,,,15.0,442929888.0,-0.19,-48.10526315789474,-33.41485130821834
IVVD,2,,Healthcare,3202339.4940567017,,,,3.0,487809440.0,-1.55,-2.858064516129032,41.66391342739247
IVZ,0,5.06,Financial Services,87009269.2928505,-0.039447306958217965,40.09775122586414,2.2919993855465837,29.0,7111943680.0,-0.73,-21.67123287671233,2.7470472436405116
J,2,0.7799999999999999,Industrials,104739016.41001384,6.448462450862295,21.04989809963768,10.458188968367121,44.0,16937711616.0,5.31,25.25235404896422,19.4158898495942
JACK,0,2.29,Consumer Cyclical,33756504.674173996,18.53278344093674,32.55786887434137,12.88670388263841,32.0,1516378368.0,6.3,12.195238095238095,2.269109512927985
JAGX,0,,Healthcare,997968.8345924021,60.99617232583591,64.78197719294131,164.5732195732196,9.0,5212600.0,-0.87,-0.11804597701149425,-68.00799180661349
JAZZ,0,,Healthcare,71832186.23168945,24.589026167542983,88.2280630330868,18.67661608219864,17.0,7752512512.0,0.82,150.1707317073171,2.08675409497668
JBGS,0,5.42,Real Estate,13541781.754302979,0.37532511068089636,47.5285724445913,5.26301608498867,7.0,1587666304.0,-0.61,-27.19672131147541,-11.894532044573348
JBHT,2,0.84,Industrials,179007322.94464108,24.00731049777811,15.700780809229414,30.598778695837623,41.0,21026947072.0,6.97,29.22668579626973,18.393888568400065
JBI,2,,Industrials,26403952.438030243,36.27670821175645,35.47709940072154,34.25271520649192,5.0,2008607104.0,0.9,15.2,9.825994163895022
JBL,0,0.26,Technology,197932544.7908529,8.459623034084858,7.815262441972532,14.221984412492397,31.0,15806776320.0,5.87,21.112436115843273,43.756787222506354
JBLU,0,,Industrials,121749943.23747635,77.92874220740784,-5.391452050560307,94.73015873015872,22.0,1689775232.0,-0.55,-9.218181818181819,-15.335134756012527
JCI,0,2.69,Industrials,323988748.97928876,6.472421055834521,33.41188361443489,6.133884849940097,37.0,37495967744.0,2.69,20.453531598513013,19.008302639137934
JD,0,2.6199998,Consumer Cyclical,377770812.82882684,18.769486838047634,14.083376844998606,16.12187210108017,10.0,37134602240.0,2.12,11.132075471698114,25.823448690383394
JEF,2,2.94,Financial Services,54763148.2274882,2.840840901633131,50.726530153844756,6.85246904298487,44.0,8610432000.0,1.1,37.163636363636364,23.192654272314705
JFBR,1,,Consumer Cyclical,2268515.1467291513,87.18690476693862,30.894902493806995,7.196979379880913,2.0,4006255.0,-2.11,-1.5971563981042656,-62.43842370317615
JFR,2,12.2,Financial Services,5925906.412391663,-193.6896694052698,,,20.0,1120708096.0,-0.3,-27.866666666666667,-1.1360617504332549
JHG,0,5.37,Financial Services,23074769.921035767,0.008109460006311409,73.42730128692125,0.10516758060700737,7.0,4809051648.0,2.03,14.30049261083744,12.848502602406327
JKHY,1,1.25,Technology,67362283.55662028,7.015131168400372,40.83286834970276,7.847752377720929,39.0,12135363584.0,4.95,33.66262626262626,5.527460045100407
JKS,0,4.95,Technology,31042047.37059275,59.91417762688476,16.215484149712232,46.14826341826984,14.0,1563138176.0,10.24,2.9599609375,51.219036465568855
JMIA,0,,Consumer Cyclical,3425284.2109251022,18.175106732898684,62.780281367054954,10.268053282125667,5.0,292792576.0,-1.41,-2.063829787234043,91.48343494809545
JNJ,1,2.9899999999999998,Healthcare,1043320634.4612631,7.398292787588979,66.99877482190773,8.961981548662473,62.0,382661263360.0,5.2,30.56923076923077,4.322786889147137
JNPR,1,2.3699999,Technology,379319358.5128784,9.239545485240031,57.189409319940815,7.214306514596746,25.0,11910915072.0,1.12,33.20535714285714,4.659913001651118
JOBY,0,,Industrials,26589785.236854553,,,,4.0,4010797568.0,-0.73,-7.890410958904109,2.515555974323462
JPC,1,8.0299996,Financial Services,9002064.231665928,-266.495929748413,,,21.0,745989888.0,-0.51,-13.921568627450979,-2.714801198632606
JPM,0,2.4600001,Financial Services,1983333173.869934,3.6097655596889044,,,44.0,490477322240.0,16.23,10.505237215033887,14.020273584171267
JQC,2,12.3,Financial Services,4438403.376366297,-212.97961390803036,,,21.0,714659392.0,-0.38,-13.868421052631577,-6.062399583052009
JRVR,0,2.1399999999999997,Financial Services,16110381.50642395,10.43120534042159,,,10.0,351177472.0,1.31,7.122137404580153,-18.5134980607936
JTAI,0,,Technology,705004.6819472313,1865.727952382451,-7.469942244631317,-860.0409737730938,3.0,10201408.0,-1.35,-0.8074074074074075,-40.332268599232115
JVSAU,0,,Financial Services,20895826.569398247,,,,0.0,,,,
JWN,2,4.02,Consumer Cyclical,87158584.22264099,4.018035078563328,34.34927504344212,10.57201904202435,44.0,3071340288.0,0.74,25.56756756756757,-15.558452009370836
JXN,0,4.96,Financial Services,29369137.291056316,76.24708620491243,,,3.0,3976594944.0,11.3,4.426548672566372,15.16934860840903
K,0,4.19,Consumer Defensive,146725328.0558777,5.49068232233777,32.205935601978005,-1.163377888872813,51.0,18314545152.0,2.38,22.46638655462185,1.796049852636885
KAMN,2,1.78,Industrials,19202700.0,-6.293296996343406,30.23040773473875,-14.011149747532109,44.0,1273271296.0,-1.7,-26.458823529411763,-12.240030236977066
KAR,0,,Consumer Cyclical,6905666.073481242,7.032672996027012,44.78815063011584,8.530934297692394,15.0,1534935808.0,-1.64,-8.664634146341465,-2.597526579286786
KBH,0,1.37,Consumer Cyclical,78797805.97412108,16.768142744659265,21.719656607834015,24.033118376591048,38.0,4430632960.0,7.03,8.307254623044097,35.59801033986044
KBR,0,1.0299999,Industrials,59051415.756327316,8.349259083726302,11.715049225939618,11.875274778500577,18.0,7109310464.0,-1.49,-35.34228187919463,34.42272333265568
KC,0,,Technology,4012953.905002276,14.019304644387493,4.851839158864557,10.339928084059746,4.0,671566528.0,-1.42,-1.9366197183098592,-46.94089804433102
KD,2,,Technology,28907563.45344543,-6.1666935936653955,12.529024481714016,7.552584580475063,3.0,4788913664.0,-4.95,-4.216161616161616,24.153486928236497
KDP,0,2.76,Consumer Defensive,256222629.3523407,10.000104580153302,54.310950176666445,6.264651296221924,16.0,43544305664.0,1.37,22.729927007299267,5.762977730696209
KEY,1,5.6799997,Financial Services,284049916.9921875,4.136628323199043,,,37.0,13523983360.0,0.88,16.40909090909091,3.3893153604786894
KEYS,0,,Technology,146591347.2519938,9.187923753951921,62.60420849921756,11.98398596136505,10.0,27170484224.0,5.91,26.263959390862944,25.239997377684897
KGC,0,2.21,Basic Materials,67300352.10738182,-2.6963500444105835,30.07724954279937,-40.592794964375564,43.0,6686925312.0,0.19,28.526315789473685,19.72431262923738
KGS,1,6.69,Energy,13891880.447273254,16.745083487940637,63.7863470424721,11.197431587236695,1.0,1760038400.0,0.39,58.282051282051285,
KHC,1,4.35,Consumer Defensive,345999263.54471844,0.5774920192153865,33.01721690957593,-5.9220231402399515,9.0,45161201664.0,2.42,15.214876033057852,-1.9321370309911898
KIM,0,4.75,Real Estate,130898342.1819814,27.799791423348253,68.7416952677939,29.417579681796667,33.0,13587627008.0,0.71,28.464788732394368,12.920561094994895
KIND,0,,Communication Services,2498510.2164276442,33.299642153001884,83.05943089426233,33.51071623689711,3.0,608502272.0,-0.37,-4.27027027027027,-41.07171344063135
KIQ,1,,Industrials,208222.80827403057,6.905418104383937,43.64715911348949,10.134901256571894,21.0,10090890.0,-0.03,-5.95,-10.870213835244973
KITT,0,,Industrials,3779708.3820341025,74.0915200083873,4.95855267725615,-1440.5120203116487,3.0,23566862.0,1.21,0.38925619834710745,-72.16072887953607
KKR,2,0.7900001,Financial Services,208871926.020813,109.4949221855986,38.34704609861328,72.7345253910966,14.0,74082426880.0,2.74,30.416058394160583,42.437991879405565
KLAC,2,0.91,Technology,573900095.9029133,22.080330800337496,59.63951204717587,23.586737106489277,44.0,86785785856.0,22.36,28.55322003577818,50.47443739691732
KLG,1,4.82,Consumer Defensive,13392241.789182028,-2.9313451924194878,25.430499922235143,-10.56106536926148,1.0,1136327296.0,-1.11,-11.954954954954953,
KMB,1,4.1300002000000005,Consumer Defensive,236864377.2148641,2.6741311583265537,32.42346039168384,-4.183719241473266,44.0,39890554880.0,5.21,22.656429942418427,1.8474906940359683
KMI,0,6.69,Energy,255536839.3918864,28.779414110539946,49.406327801919694,5.690791156084596,13.0,37542584320.0,1.09,15.495412844036696,5.960626008001147
KMPR,1,2.1399999999999997,Financial Services,23429181.30620321,3.485153489157178,,,34.0,3704875264.0,-6.11,-9.461538461538462,-4.996485232710284
KMT,0,3.3099998,Industrials,14397658.195991514,3.408817705661319,30.34771492351772,7.131167182222746,51.0,1925603712.0,1.49,16.23489932885906,-3.5268068275096143
KMX,0,,Consumer Cyclical,137524914.02526855,18.217358241548883,11.422685091717135,3.5838853998830986,27.0,10651770880.0,3.13,21.549520766773163,11.631361323088095
KNSA,3,,Healthcare,10382842.30295817,,,,6.0,1290709632.0,-0.11,-166.81818181818184,2.0221227281949488
KNX,0,0.98,Industrials,113734339.42550659,26.090837106017805,32.747938681487234,38.85111095099363,30.0,9194805248.0,2.34,24.35042735042735,20.2730906352957
KO,1,3.1199999999999997,Consumer Defensive,757874944.6779377,14.168749464260323,59.24208783646327,13.152602126578605,62.0,254692081664.0,2.47,23.850202429149796,4.803306688245281
KOD,1,,Healthcare,1693114.0174659095,,,,6.0,196246400.0,-5.19,-0.720616570327553,165.2352029558537
KODK,0,,Industrials,1912626.0777537029,8.270799002830941,13.829428970113858,12.570009033423668,11.0,277639968.0,0.69,5.057971014492754,21.588073529544012
KOPN,2,,Technology,2668894.7258663177,8.800771627592496,20.097232138127428,-30.128188400213574,32.0,223212016.0,-0.19,-10.631578947368421,101.96805769116303
KOS,0,,Energy,29455416.666666668,67.11750448519655,32.09360640013018,-1247.8831431821995,13.0,2885015040.0,0.16,39.1875,23.565884652465137
KPTI,0,,Healthcare,965197.6937397321,34.49286775186124,97.51904156140063,34.724365481026545,11.0,94490552.0,-1.31,-0.6297709923664122,-18.960785265501823
KR,2,2.52,Consumer Defensive,182778458.3333333,6.646499141967836,22.209713917847335,5.801425307884333,62.0,33165398016.0,2.57,17.93774319066148,11.702366503132867
KRC,0,5.55,Real Estate,45902210.78117369,10.583917032840095,71.1616873794593,10.34586823428162,27.0,4576957440.0,1.84,21.010869565217387,-4.232303982148943
KRG,0,4.64,Real Estate,36544585.72719574,77.41680171297376,72.20269874829711,80.68910077332315,20.0,4790969856.0,0.17,126.70588235294116,13.208832321483353
KRNT,0,,Industrials,9005580.210113525,25.438813404279266,42.71074345465161,18.270714351066587,9.0,774547200.0,-1.55,-10.161290322580644,42.511255807013114
KROS,1,,Healthcare,33609471.04766846,,,,4.0,1918759168.0,-4.96,-11.383064516129032,-17.394627892329265
KRP,0,13.74,Energy,6533877.949714661,75.87159004681035,63.90577050649529,153.45276295418375,7.0,1528317440.0,1.29,11.511627906976743,11.334128862365738
KRTX,0,,Healthcare,415706454.35750324,,,,5.0,11942167552.0,-10.94,-28.80712979890311,43.716387952527484
KSCP,0,,Industrials,815000.506683588,33.7181453300353,-52.75593175487726,59.852030824354244,2.0,46392576.0,-0.58,-0.9439655172413793,-68.25396675221353
KSPI,0,7.1100004,,144699100.0,40.82717984976869,70.60446225765237,41.70693884627645,0.0,,,,
KSS,0,7.48,Consumer Cyclical,136126619.0088272,-1.7307019942651787,38.032382511366194,-0.8710679542476322,32.0,2959331584.0,-1.01,-26.465346534653467,-11.449402951571987
KT,0,5.37,Communication Services,9674804.04158274,3.14468076125326,60.35990569906978,5.416188098293217,25.0,6316511744.0,1.75,7.228571428571429,-0.47758110068383725
KTOS,0,,Industrials,14803299.962247213,9.614537776187904,26.691354500577344,5.58869067815878,25.0,2242249216.0,-0.16,-108.6875,20.131064720434996
KTRA,0,,Healthcare,1346777.0572002225,,,,11.0,406537.0,-7.71,-0.01556420233463035,-44.99732273132061
KULR,1,,Technology,299199.3295788765,176.1273421328835,61.131451246032064,140.4791251160888,6.0,25139910.0,-0.2,-0.9495,-19.448199058682707
KURA,0,,Healthcare,13254307.8086853,,,,9.0,1456475904.0,-2.02,-9.707920792079207,16.56895786796742
KVUE,0,3.92,Consumer Defensive,373786599.6723429,1.683331954458206,55.05207034420025,2.456018944819122,1.0,39123451904.0,0.57,35.8421052631579,
KVYO,0,,Technology,20074770.613861084,62.65758326451969,71.88888512254758,67.38676533426562,1.0,6400015360.0,-1.09,-22.697247706422015,
KW,0,8.7,Real Estate,11116950.0,9.4797566603734,67.18428263239815,8.897624748393385,17.0,1538876672.0,-0.51,-21.64705882352941,-3.7978965174906074
KYMR,2,,Healthcare,33773059.7610728,39.14546738862812,,,4.0,1783519872.0,-2.86,-10.503496503496503,-18.76009702815103
KYN,0,10.13,Financial Services,6888136.235898336,-73.53658307420457,,,20.0,1469722240.0,-0.73,-11.904109589041095,-1.9107797774849806
KZR,0,,Healthcare,331963.33043773967,,,,6.0,58596720.0,-1.21,-0.665206611570248,4.614434584441201
L,4,0.33999999999999997,Financial Services,43952640.0,1.3950355673389314,,,44.0,16317415424.0,6.57,11.124809741248097,9.933999332812709
LAAC,0,,Basic Materials,7438445.652627945,,,,16.0,785942400.0,-0.12,-40.25,75.17006012147769
LAB,2,,Healthcare,6559928.887934685,-15.232670439394935,50.42394835651633,-31.66834350919659,13.0,678153024.0,-0.95,-2.463157894736842,-0.629161320692998
LAC,0,,Basic Materials,10680063.78103892,,,83.61746178582442,1.0,770729792.0,-0.08,-59.12500000000001,
LADR,0,8.1,Real Estate,8290877.434844971,70.59542040006156,,,10.0,1441720320.0,1.13,10.053097345132743,-1.6398635462040314
LAES,1,,Technology,25626872.544956207,27.602003128300534,40.74971146060168,34.31510883054777,1.0,16937634.0,0.56,3.3571428571428568,
LAMR,2,4.75,Real Estate,44187442.67781575,13.811332388304375,66.45455000751517,16.23160987559409,28.0,10730188800.0,4.04,26.03960396039604,11.685107078077944
LAUR,0,,Consumer Defensive,10887537.082697552,10.172000406699855,24.57118306962178,22.69816817470185,7.0,2025313408.0,0.65,19.799999999999997,0.681555620376922
LAZ,2,5.09,Financial Services,55528301.66107178,5.101487145162764,41.55204902489195,5.526390872327886,19.0,3433657088.0,-1.12,-35.07142857142857,-0.5795914561221217
LAZR,0,,Consumer Cyclical,22392293.83984884,78.18852042576194,-90.42408067719633,177.354559832983,5.0,1149591296.0,-1.51,-1.8940397350993377,20.105515128841397
LBPH,2,,Healthcare,111055035.190773,,,,3.0,907619328.0,-2.43,-10.563786008230453,25.88630452840718
LBRDK,0,,Communication Services,57905943.37402344,917.96955624355,,,10.0,11400573952.0,4.55,17.178021978021977,11.050312095071487
LBRT,0,1.52,Energy,51113378.97155762,111.88135814915383,2.38017871417783,-879.0663152814911,6.0,3100700928.0,3.43,5.3615160349854225,10.20473964930838
LBTYA,1,,Communication Services,28930571.217155457,-20.452250189454585,70.99613812010834,-20.630088438070498,20.0,7968864768.0,-10.66,-1.822701688555347,-2.0569564412923387
LBTYK,1,,Communication Services,37440141.29183452,-20.452250189454585,70.99613812010834,-20.630088438070498,19.0,7960664064.0,-10.66,-1.9409005628517824,-0.40303523353578896
LC,0,,Financial Services,14621777.981910706,104.29565120382418,,,10.0,949560320.0,0.48,18.041666666666668,8.867089823437661
LCID,0,,Consumer Cyclical,134614172.3289299,1362.5829824025484,-206.40475656272943,-6746.096898723027,4.0,6456192512.0,-1.5,-1.88,53.23658507352555
LCTX,0,,Healthcare,928622.8992716469,340.6987064717586,69.5470119933454,501.1937059142702,32.0,183736352.0,-0.13,-8.076923076923077,15.135410443521105
LDI,0,,Financial Services,2337019.787836075,-42.038453836509035,,,3.0,971221632.0,-0.94,-3.202127659574468,23.85416669865154
LDOS,3,1.38,Technology,76540239.45541382,8.25371803984456,14.420924667436404,9.711352712932332,18.0,15147661312.0,1.06,103.92452830188678,19.771676775248373
LEA,0,2.3599999,Consumer Cyclical,69954815.02360027,10.731676668260615,6.826646369889193,13.406991357589304,15.0,7596508160.0,9.47,13.768743400211191,4.8547547862499485
LEG,0,7.829999999999999,Consumer Cyclical,32962831.702295937,9.986971464877147,20.190263180051932,4.460173582090205,44.0,3097000192.0,1.57,14.796178343949045,-3.7216361858239524
LEGN,4,,Healthcare,68987329.90564983,30.884581175718484,81.37885845334245,-16.599654432917788,4.0,10955508736.0,-2.96,-20.304054054054056,31.050932442912067
LEN,0,1.38,Consumer Cyclical,336609488.58113605,22.373665426854483,19.08172738495537,44.72508320632023,44.0,40846196736.0,13.73,10.569555717407138,34.82327734151395
LESL,1,,Consumer Cyclical,15345845.497512817,9.98797392488872,41.66196066320933,7.918569539168301,4.0,1259001216.0,0.15,45.53333333333334,-35.51323246887875
LEVI,0,3.05,Consumer Cyclical,25173015.0,18.23561744026606,56.145634471613185,24.137286397756487,5.0,6242962432.0,0.69,22.782608695652176,-0.6688649225063286
LFMD,0,,Healthcare,9637976.827926636,88.60082232940462,80.39360937053844,98.69716989607137,16.0,238355456.0,-0.98,-6.204081632653061,242.15226361030267
LFST,0,,Healthcare,7565682.216746013,28.76821505563205,28.881384201953075,17.621632888024298,3.0,2521522688.0,-0.52,-12.807692307692308,5.196387659791295
LH,0,1.2899999500000001,Healthcare,159517220.91796875,3.8045415184962184,33.26530108977943,-4.237488350566659,34.0,18962415616.0,9.72,22.978395061728392,19.17245443032517
LHX,0,2.23,Industrials,221317299.20064294,-3.1549997686573015,29.410000363130735,-3.535424684662863,43.0,38713544704.0,7.76,26.320876288659793,10.818164876450313
LI,0,,Consumer Cyclical,233763708.14545947,126.64311856589545,19.041761877987394,162.21943066679785,4.0,28664311808.0,0.23,121.56521739130434,19.458049168151145
LICY,0,,Industrials,1878918.4906959531,452.4916545548161,20.238348845546454,841.4052166728302,4.0,77592224.0,-0.31,-1.4041935483870969,-47.926639536189576
LIFW,0,,Healthcare,1660483.3333333335,32.723663545549734,96.90450217935275,25.916897616596724,4.0,166402800.0,-104.8,-0.011450381679389313,-59.817073070015816
LILAK,1,,Communication Services,4965007.02340126,13.951476441855682,75.72186556775013,11.738584510353057,9.0,1455918976.0,0.73,9.726027397260273,-7.9749915989000355
LILM,0,,Industrials,3323214.418214162,-75.77319587628865,,-79.3103448275862,4.0,440977216.0,-1.2,-0.6984166666666667,-41.217903063123906
LIN,0,1.27,Basic Materials,578004624.1577148,10.690085240466207,42.75567047030146,8.365694104171306,32.0,194576646144.0,12.08,33.21854304635762,22.34967990198358
LITE,2,,Technology,47214211.33661906,1.7560763002209694,40.47912946511546,-2.234871873659057,9.0,3658859008.0,-2.94,-18.57482993197279,13.937110371620514
LIVN,0,,Healthcare,21072322.69706726,4.757252352241586,67.02140880067732,9.438261998829468,9.0,2636436992.0,0.05,978.8,-8.205265153248465
LKQ,1,2.53,Consumer Cyclical,74697373.67909749,5.15133218313334,40.32763836704867,7.002469898017283,21.0,12700200960.0,3.57,13.294117647058824,19.589993423697614
LLAP,0,,Industrials,4288245.831100145,97.39715448900877,10.33913300126144,-179.76110266141933,3.0,163308336.0,-1.02,-0.8233333333333334,-55.936185593963906
LLY,8,0.8200000000000001,Healthcare,1907439227.41333,8.092658685893584,76.20109196143504,7.270570868460013,52.0,601575849984.0,5.51,115.00907441016335,39.48418618987205
LMFA,0,,Financial Services,369497.0073898633,464.0863304948394,,,9.0,6871741.0,-2.58,-0.18178294573643408,-15.932480651987817
LMND,2,,Financial Services,29634469.726409912,67.96953376630233,,,4.0,1177513472.0,-3.7,-4.551351351351351,-38.40959859920431
